"Respondent ID","Start Date","End Date","What best describes you?","What’s your highest academic degree?","What best describes what you do now?","How interested are you in Technical demonstrations of techniques and packages.","How interested are you in Training on data science methods","How interested are you in Talks about big impressive projects","How interested are you in Talks about solving everyday challenges","How interested are you in Social events","R","Python","Stats Software e.g. SAS  SPSS STATA JMP","Tableau","Spreadsheets e.g. Excel Numbers Matlab","C++","SQL","Hadoop","Java","Hive","Pig","Ruby","Perl","What percentage of your time is Cleaning data","What percentage of your time is Analyzing data","What percentage of your time is Creating data visualizations","What percentage of your time is  Creating and managing databases","How many data science meetups have you attended?","As a result of the Data Science Meetup I have connected with colleagues","As a result of the Data Science Meetup I've found a job or consulting project","As a result of the Data Science Meetup  I've learned new skills that I now use at work","As a result of the Data Science Meetup I've recruited someone for a job or project","As a result of the Data Science Meetup I've participated other meetups","As a result of the Data Science Meetup I've been motivated to take seek other training opportunities (online or traditional)","Mon 6-7:30","Mon 7:30-9","Tue 6-7:","Tue 7:30-","Wed 6-7:30","Wed 7:3","Thu 6-7:3","Thu 7:30-9"
6490162212,"11/01/2017 09:51:59 AM","11/01/2017 09:54:15 AM","I’m a data scientist","Master’s degree","I’m a grad student","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Neutral","Regularly use","Regularly use","Use all the time","Never use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",40,20,20,20,"None",,,,,,,1,,1,,1,,1,
6488092103,"10/31/2017 01:09:44 PM","10/31/2017 01:13:25 PM","I’m not a data scientist but I need some of the skills for my job or studies","Doctorate","I’m a professor","Somewhat interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","NOT interested","Rarely use","Rarely use","Use all the time","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",70,10,15,5,"5-10","It hasn't happened but I think it could","I can't see this happening","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",1,,1,,1,,1,
6487627733,"10/31/2017 10:34:57 AM","10/31/2017 10:39:16 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I’m an entrepreneur","Definitely VERY interested","Neutral","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Rarely use","Never use","Rarely use","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",0,85,5,10,"Less than 5","I can't see this happening","I can't see this happening","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,,1,,1,,1,
6487598921,"10/31/2017 10:25:54 AM","10/31/2017 10:29:04 AM","I just come to the meetups for fun.","Doctorate","I work for a company","Neutral","Neutral","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Never use","Never use","Never use","Never use","Rarely use","Never use","Regularly use","Rarely use","Use all the time","Never use","Never use","Rarely use","Use all the time",10,20,0,70,"5-10","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",1,,1,,1,,1,
6487557072,"10/31/2017 10:11:51 AM","10/31/2017 10:14:21 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I work for a company","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Use all the time","Use all the time","Never use","Never use","Never use","Regularly use","Regularly use","Never use","Regularly use","Never use","Never use","Never use","Never use",0,80,10,10,"None",,,,,,,1,,1,,1,,1,
6487556030,"10/31/2017 10:09:58 AM","10/31/2017 10:14:32 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I’m a grad student","Definitely VERY interested","Definitely VERY interested","Neutral","Somewhat interested","Somewhat interested","Never use","Use all the time","Never use","Rarely use","Rarely use","Rarely use","Regularly use","Never use","Rarely use","Never use","Never use","Never use","Never use",20,60,15,5,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","It hasn't happened but I think it could",1,,1,,1,,1,
6487555318,"10/31/2017 10:09:48 AM","10/31/2017 10:13:31 AM","I want to be a data scientist","Master’s degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Neutral","Regularly use","Rarely use","Never use","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",20,30,30,20,"None",,,,,,,1,,1,,1,,1,
6489172563,"10/31/2017 09:12:03 PM","10/31/2017 09:17:56 PM","I’m not a data scientist but I need some of the skills for my job or studies","High school","I work for a company","Neutral","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Neutral","Rarely use","Rarely use","Never use","Never use","Use all the time","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use",10,5,35,50,"5-10","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",,,1,,1,,1,
6487651905,"10/31/2017 10:29:34 AM","10/31/2017 08:57:27 PM","I want to be a data scientist","Bachelor's degree","I work for a company","Somewhat interested","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Neutral","Never use","Rarely use","Never use","Never use","Use all the time","Rarely use","Rarely use","Never use","Rarely use","Never use","Never use","Never use","Never use",10,80,10,0,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,1,,1,,1,
6487610756,"10/31/2017 10:27:20 AM","10/31/2017 10:33:25 AM","I’m a data scientist","Doctorate","I’m an entrepreneur","Somewhat interested","Neutral","Neutral","Neutral","Somewhat interested","Use all the time","Never use","Rarely use","Never use","Regularly use","Rarely use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use",20,44,34,2,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,1,,1,,1,
